4278,0x301,S,8,00000000000E0002
4301,0x6F2020,E,8,FEFF73022E603000
4307,0x300,S,8,000000000245420C
4315,0x110,S,8,033E00C803001D00
4322,0x120,S,8,027300021C1B2E64
4333,0x130,S,8,0000000002EE0000
4346,0x301,S,8,0000000000010002
4359,0x401,S,8,0000CC01BB240000
4427,0x300,S,8,000000000245420C
4466,0x301,S,8,0000000000050002
4476,0x300,S,8,000000000245420C
4486,0x110,S,8,033E00C803001D00
4500,0x120,S,8,027300021C1B2E64
4556,0x130,S,8,0000000002EE0000
4567,0x301,S,8,0000000000050002
4580,0x300,S,8,000000000245420C
4596,0x301,S,8,00000000000A0002
4610,0x6F2020,E,8,FEFF73022E603000
4670,0x300,S,8,000000000245420C
4708,0x301,S,8,0000000000010002
4716,0x300,S,8,000000000245420C
4726,0x301,S,8,0000000000060002
4735,0x401,S,8,0000CC01BB240000
4746,0x110,S,8,033E00C803001D00
4755,0x301,S,8,0000000000060002
4766,0x401,S,8,0000CC01BB240000
4778,0x300,S,8,000000000245420C
4791,0x301,S,8,00000000000B0002
4803,0x6F2020,E,8,FEFF73022E603000
4815,0x300,S,8,000000000245420C
4828,0x301,S,8,0000000000100002
4847,0x110,S,8,033E00C803001D00
4861,0x120,S,8,027300021C1B2E64
4876,0x130,S,8,0000000002EE0000
4895,0x401,S,8,0000CC01BB240000
4969,0x300,S,8,000000000245420C
4980,0x301,S,8,0000000000020002
4990,0x300,S,8,000000000245420C
5002,0x301,S,8,0000000000070002
5016,0x220201,E,8,000201E803004304
5029,0x220224,E,8,4200000000000000
5042,0x10303,E,8,0300000000000000
5055,0x103C8,E,8,23C1E7C2AC7479C2
5070,0x300,S,8,000000000245420C
5087,0x301,S,8,0000000000070002
5101,0x6F2020,E,8,FEFF73022E603000
5117,0x401,S,8,0000CC01BB240000
5132,0x300,S,8,000000000245420C
5149,0x301,S,8,00000000000C0002
5166,0x110,S,8,033E00C803001D00
5183,0x300,S,8,000000000245420C
